"","q1","q2","q3","q4","q5","q7","q8","q9","q10","q11","q12","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender3","party2","county","race.st","smp","regionw","age4","agew","turnout3","partyw","region","likelyyn","rv.weight","turnout.score","lv.weight"
"11","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",43,"Yes","Male","Republican","Pinellas","Hispanic","Cell","Bay Area",2,"30 to 44","High","Republican","Bay Area",1,0.993469893932343,0.986650795,0.986838877791362
"12","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Landline and Cell Phone",54,"No","Male","Democratic","Escambia","Black","Cell","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",1,0.778904914855957,0.986706769,0.773727833765302
"13","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",61,"No","Male","Democratic","Charlotte","White","Landline","Southwest",3,"45 to 64","High","Democratic","Southwest",1,0.741047322750092,0.987453474,0.736398537999034
"14","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","Support","Real threat","Support","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",27,"No","Female","Democratic","Pinellas","White","Cell","Bay Area",1,"18 to 29","High","Democratic","Bay Area",1,0.925379931926727,0.869231066,0.864874458305202
"15","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Marco Rubio, the Republican","Approve","Oppose","Support","Real threat","Oppose","Excellent","Independent (No party)","Nine","Almost certain","Bachelors' degree","Hispanic/Latino","Cell Phone only",39,"Yes","Male","Democratic","Orange","Hispanic","Cell","Central",2,"30 to 44","Low","Democratic","Central",1,1.36828482151031,0.229666489,0.841266995525148
"16","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",23,"No","Female","Republican","St Johns","Other","Cell","North/Panhandle",1,"18 to 29","Low","Republican","North/Panhandle",1,0.953084528446198,0.256511296,0.59878073801774
"17","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",22,"No","Female","Democratic","Sarasota","White","Cell","Southwest",1,"18 to 29","High","Democratic","Southwest",1,0.816486656665802,0.983561636,0.809775804234094
"18","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",22,"No","Male","Democratic","Polk","White","Cell","Bay Area",1,"18 to 29","Middle","Democratic","Bay Area",1,0.623014211654663,0.680112269,0.523366910692688
"19","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",60,"No","Female","Democratic","Duval","White","Cell","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",1,0.819432497024536,0.917331661,0.785561934889
"20","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline only",52,"No","Male","Non-Partisan","Pasco","White","Landline","Bay Area",3,"45 to 64","Middle","Other","Bay Area",1,0.713929355144501,0.639081378,0.58509415561245
"21","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Cell Phone only",57,"No","Male","Democratic","Broward","Black","Cell","Southeast",3,"45 to 64","Middle","Democratic","Southeast",1,0.821564912796021,0.63445125,0.671403899337798
"22","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","Oppose","Not","Support","Fair","Independent (No party)","Nine","Very likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",24,"No","Male","Republican","Orange","White","Landline","Central",1,"18 to 29","Low","Republican","Central",1,1.64250791072845,0.20779661,0.991907743238005
"23","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Cell Phone only",23,"No","Female","Democratic","Leon","Black","Cell","North/Panhandle",1,"18 to 29","High","Democratic","North/Panhandle",1,0.858198225498199,0.924395953,0.825756596439357
"24","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","[DO NOT READ] Won't vote","Marco Rubio, the Republican","Approve","Oppose","Oppose","Real threat","Support","Fair","Republican","Ten (definitely will vote)","Very likely","Some college or trade school","Caucasian/White","Cell Phone only",54,"No","Female","Non-Partisan","Palm Beach","White","Cell","Southeast",3,"45 to 64","Middle","Other","Southeast",1,0.910202145576477,0.633136043,0.74324196563354
"25","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Disapprove","Oppose","Oppose","Not","Oppose","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Asian","Cell Phone only",21,"No","Male","Non-Partisan","St Johns","Other","Cell","North/Panhandle",1,"18 to 29","Low","Other","North/Panhandle",1,0.673476696014404,0.040693002,0.350441242276136
"26","Unfavorable","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","Oppose","Real threat","Support","Fair","or as a member of another political party","Ten (definitely will vote)","Not at all likely","High school","Caucasian/White","Landline and Cell Phone",48,"No","Female","Non-Partisan","Pasco","White","Cell","Bay Area",3,"45 to 64","Low","Other","Bay Area",1,1.46541142463684,0.218485654,0.892791399063846
"27","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Oppose","Oppose","Not","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Cell Phone only",22,"No","Male","Republican","Duval","Black","Cell","North/Panhandle",1,"18 to 29","Middle","Republican","North/Panhandle",1,0.718199908733368,0.593327086,0.572163683873802
"28","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Independent (No party)","Nine","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",23,"No","Female","Non-Partisan","Leon","White","Cell","North/Panhandle",1,"18 to 29","High","Other","North/Panhandle",1,0.793024778366089,0.897878932,0.752532509707485
"29","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Support","Support","Real threat","Oppose","Fair","Independent (No party)","Nine","Almost certain","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",21,"Yes","Male","Democratic","Miami-Dade","Hispanic","Landline","Southeast",1,"18 to 29","Low","Democratic","Southeast",1,0.983740508556366,0.242620698,0.611208158696593
"30","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Support","[DO NOT READ] Don't know/No opinion","Oppose","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",24,"No","Male","Non-Partisan","Pinellas","White","Cell","Bay Area",1,"18 to 29","Middle","Other","Bay Area",1,0.65609335899353,0.552749158,0.509374205373298
"31","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Oppose","Poor","Republican","Ten (definitely will vote)","Already voted by mail","High school","Caucasian/White","Landline only",62,"No","Male","Republican","Leon","White","Landline","North/Panhandle",3,"45 to 64","High","Republican","North/Panhandle",1,0.849566638469696,0.988562359,0.844708118936716
"32","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","[DO NOT READ] Don't know/No opinion","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",60,"No","Female","Non-Partisan","Brevard","White","Landline","Central",3,"45 to 64","Low","Other","Central",1,1.81542992591858,0.302494703,1.1822939301806
"33","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Support","Poor","Democrat","[DO NOT READ] Don't know/No opinion","Not very likely","Graduate or Professional degree","African American/Black","Cell Phone only",47,"No","Male","Democratic","Palm Beach","Black","Cell","Southeast",3,"45 to 64","Middle","Democratic","Southeast",1,0.821564912796021,0.702494711,0.699354958978418
"34","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Support","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","[DO NOT READ] Other/Something else (specify)","Cell Phone only",32,"No","Male","Democratic","Broward","White","Cell","Southeast",2,"30 to 44","High","Democratic","Southeast",1,0.979886710643768,0.985872235,0.972964905566526
"35","Favorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","Independent (No party)","Ten (definitely will vote)","Somewhat likely","Some college or trade school","Hispanic/Latino","Cell Phone only",66,"Yes","Female","Democratic","Hillsborough","Hispanic","Cell","Bay Area",4,"65+","Middle","Democratic","Bay Area",1,0.741628646850586,0.584709716,0.587633061164028
"36","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Oppose","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone only",24,"No","Female","Democratic","Hillsborough","Black","Cell","Bay Area",1,"18 to 29","Middle","Democratic","Bay Area",1,0.851253807544708,0.564484523,0.665886703098632
"37","Unfavorable","[DO NOT READ] Don't know/No opinion","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","[DO NOT READ] Don't know/No opinion","Good","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",33,"No","Female","Democratic","St Johns","White","Landline","North/Panhandle",2,"30 to 44","Middle","Democratic","North/Panhandle",1,0.725701868534088,0.621089561,0.588213862102253
"38","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",62,"No","Male","Republican","Sumter","White","Landline","Central",3,"45 to 64","High","Republican","Central",1,1.29334890842438,0.987963741,1.28556536785147
"39","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",43,"No","Female","Republican","Gulf","White","Landline","North/Panhandle",2,"30 to 44","Middle","Republican","North/Panhandle",1,0.90206515789032,0.64221982,0.740694640609456
"40","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Hispanic/Latino","Cell Phone only",32,"Yes","Male","Democratic","Miami-Dade","Other","Cell","Southeast",2,"30 to 44","High","Democratic","Southeast",1,0.721978902816772,0.902348394,0.686727703137685
"41","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Poor","Independent (No party)","Eight","Very likely","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",25,"Yes","Female","Democratic","Hillsborough","Hispanic","Cell","Bay Area",1,"18 to 29","High","Democratic","Bay Area",1,0.802610099315643,0.986682916,0.395960836601904
"42","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Support","Good","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone only",52,"No","Female","Non-Partisan","Escambia","White","Cell","North/Panhandle",3,"45 to 64","High","Other","North/Panhandle",1,0.862937688827515,0.909785023,0.82401273738398
"43","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",88,"No","Male","Democratic","Sarasota","White","Landline","Southwest",4,"65+","High","Democratic","Southwest",1,0.779585778713226,0.991795114,0.776387572492445
"44","Unfavorable","Unfavorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Approve","Oppose","Oppose","Real threat","Support","Fair","Democrat","Ten (definitely will vote)","Almost certain","High school","Hispanic/Latino","Cell Phone only",38,"Yes","Male","Democratic","Sarasota","Hispanic","Cell","Southwest",2,"30 to 44","High","Democratic","Southwest",1,0.705187797546387,0.957779871,0.690301238008163
"45","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","[DO NOT READ] Don't know/No opinion","Support","Not","Support","Good","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",81,"No","Female","Republican","Sarasota","White","Landline","Southwest",4,"65+","High","Republican","Southwest",1,1.16182160377502,0.99651601,1.15979771635036
"46","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","[DO NOT READ] Won't vote","Patrick Murphy, the Democrat","Approve","Support","Support","Real threat","Oppose","Poor","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",76,"No","Female","Democratic","Sarasota","White","Landline","Southwest",4,"65+","High","Democratic","Southwest",1,0.93467253446579,0.995413364,0.932529033118394
"47","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","African American/Black","Landline and Cell Phone",58,"No","Male","Republican","Sarasota","White","Cell","Southwest",3,"45 to 64","High","Republican","Southwest",1,0.921140730381012,0.992777655,0.91781433184626
"48","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Support","Not","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline only",61,"No","Female","Democratic","Alachua","White","Landline","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",1,0.819432497024536,0.956325681,0.801538419297244
"49","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",62,"No","Female","Republican","Sarasota","White","Landline","Southwest",3,"45 to 64","High","Republican","Southwest",1,1.10438859462738,0.995358435,1.10182554835158
"50","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",70,"No","Male","Democratic","Manatee","White","Landline","Bay Area",4,"65+","High","Democratic","Bay Area",1,0.883555293083191,0.994532037,0.881139668815897
"51","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Cell Phone only",49,"No","Male","Republican","Sarasota","White","Cell","Southwest",3,"45 to 64","High","Republican","Southwest",1,0.921140730381012,0.991607768,0.917275517024008
"52","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Fair","Democrat","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",52,"No","Female","Democratic","Sarasota","White","Landline","Southwest",3,"45 to 64","High","Democratic","Southwest",1,0.888465106487274,0.994773564,0.88614335347863
"53","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Disapprove","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone only",57,"No","Female","Non-Partisan","Sarasota","White","Cell","Southwest",3,"45 to 64","Low","Other","Southwest",1,1.29297494888306,0.393917586,0.901150259752772
"54","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Support","Support","[DO NOT READ] Don't know/No opinion","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Cell Phone only",40,"No","Female","Democratic","Alachua","Black","Cell","North/Panhandle",2,"30 to 44","High","Democratic","North/Panhandle",1,1.02459442615509,0.995603592,1.02234215858914
"55","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Not","Support","Good","Republican","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",87,"No","Male","Republican","Sarasota","White","Landline","Southwest",4,"65+","High","Republican","Southwest",1,0.969042837619781,0.991733886,0.965037728336457
"56","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Support","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Very likely","High school","Caucasian/White","Landline and Cell Phone",64,"No","Female","Democratic","Sarasota","White","Cell","Southwest",3,"45 to 64","High","Democratic","Southwest",1,0.888465106487274,0.994690347,0.886106385334014
"57","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Good","Democrat","Ten (definitely will vote)","Not very likely","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",37,"No","Female","Democratic","Palm Beach","White","Cell","Southeast",2,"30 to 44","High","Democratic","Southeast",1,1.17482471466064,0.952050648,1.14665867276986
"58","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Patrick Murphy, the Democrat","Disapprove","Support","[DO NOT READ] Don't know/No opinion","Real threat","Support","Fair","Democrat","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",54,"No","Female","Democratic","Bay","White","Landline","North/Panhandle",3,"45 to 64","High","Democratic","North/Panhandle",1,0.819432497024536,0.994136336,0.81703005860792
"59","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","Oppose","Good","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone only",72,"No","Female","Republican","Bay","White","Cell","North/Panhandle",4,"65+","High","Republican","North/Panhandle",1,1.07154166698456,0.996085499,1.06944439098531
"60","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Support","[DO NOT READ] Don't know/No opinion","Support","Fair","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",77,"No","Female","Republican","Bay","White","Landline","North/Panhandle",4,"65+","High","Republican","North/Panhandle",1,1.07154166698456,0.957780318,1.04892159276964
"61","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Marco Rubio, the Republican","Disapprove","Support","Oppose","Real threat","Oppose","Fair","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",34,"No","Male","Non-Partisan","Alachua","White","Landline","North/Panhandle",2,"30 to 44","Low","Other","North/Panhandle",1,1.09129333496094,0.24637006,0.680077669686432
"62","[DO NOT READ] Don't know/No opinion","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Support","Poor","Democrat","Three","Somewhat likely","Graduate or Professional degree","African American/Black","Landline and Cell Phone",44,"No","Female","Republican","Alachua","White","Landline","North/Panhandle",2,"30 to 44","High","Republican","North/Panhandle",0,1.11755192279816,0.922608619,0.515531517518025
"63","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Patrick Murphy, the Democrat","Approve","Oppose","Support","Real threat","Oppose","Poor","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Cell Phone only",33,"No","Male","Democratic","Alachua","Black","Cell","North/Panhandle",2,"30 to 44","High","Democratic","North/Panhandle",1,0.854590356349945,0.992666786,0.85145690936722
