"","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","partyid","scale","likely","educ","racer","phonetyp","age","hisp","gender","party2","county","racest","smp","region","age4","turnout3","race.st","partyw","regionw","rv.weight","likelyyn","turnout.score","lv.weight"
"11","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Support","Not","Oppose","Support","Democrat","Ten (definitely will vote)","Very likely","High school","African American/Black","Landline and Cell Phone",53,"No","F","Democratic","Nash","Black","Landline","North Central",3,"High","Black","Democratic","North Central",1.7041974067688,1,0.941482872,1.65433503787422
"12","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","[DO NOT READ] Refused","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",64,"No","M","Non-Partisan","Orange","Other","Landline","North Central",1,"Low","Other","Other","North Central",1.16672372817993,1,0.376514214,0.803005897825374
"13","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Disapprove","Support","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","High school","African American/Black","Cell Phone Only",41,"No","M","Democratic","Rockingham","Black","Cell","Piedmont-Triad",2,"High","Black","Democratic","Piedmont-Triad",1.15741848945618,1,0.924539305,1.11374868764607
"14","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","Caucasian/White","Landline and Cell Phone",58,"No","F","Non-Partisan","Wake","White","Landline","North Central",1,"High","White","Other","North Central",1.83138251304626,1,0.975248316,1.80871761242324
"15","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",78,"No","F","Democratic","Wake","White","Landline","North Central",4,"High","White","Democratic","North Central",1.16539657115936,1,0.882755934,1.09707865490677
"16","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",35,"No","F","Non-Partisan","Wake","White","Landline","North Central",2,"Middle","White","Other","North Central",1.81633591651917,1,0.577621723,1.43274549908287
"17","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Won't vote","Richard Burr, the Republican","[DO NOT READ] Won't vote","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Support","Real threat","Oppose","Oppose","[DO NOT READ] Refused","One (definitely will NOT vote)","Not at all likely","High school","Caucasian/White","Landline Only",61,"No","M","Non-Partisan","Wake","White","Landline","North Central",3,"Middle","White","Other","North Central",1.10606098175049,0,0.580657815,0.321121476459997
"18","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","Support","Oppose","[DO NOT READ] Don't know/No opinion","Support","Support","Republican","Ten (definitely will vote)","Very likely","Some college or trade school","Asian","Cell Phone Only",36,"No","M","Republican","Onslow","White","Cell","East/ South Central",2,"High","White","Republican","East/ South Central",0.885028839111328,1,0.983435951,0.877699008582602
"19","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Oppose","Disapprove","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",40,"No","F","Democratic","Wake","White","Landline","North Central",2,"High","White","Democratic","North Central",1.84010875225067,1,0.983323107,1.82476510386585
"20","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Disapprove","Support","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Graduate or Professional degree","Caucasian/White","Landline and Cell Phone",25,"No","M","Democratic","Pitt","White","Cell","East/ South Central",1,"High","White","Democratic","East/ South Central",0.911335527896881,1,0.867190673,0.850818598831294
"21","[DO NOT READ] Don't know/No opinion","Unfavorable","Hillary Clinton, the Democrat","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Disapprove","Oppose","Oppose","Real threat","Oppose","Oppose","or as a member of another political party","Eight","Somewhat likely","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",22,"Yes","F","Democratic","Chatham","Hispanic","Cell","North Central",1,"Low","Hispanic","Democratic","North Central",1.0176705121994,0,0.504254862,0.256582651845289
"22","Favorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Oppose","Not","Support","Oppose","Democrat","Nine","Very likely","High school","African American/Black","Cell Phone Only",25,"No","M","Democratic","Cumberland","Black","Cell","East/ South Central",1,"High","Black","Democratic","East/ South Central",1.05022203922272,1,0.890159062,0.992543352274469
"23","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline Only",69,"No","M","Republican","Caswell","White","Landline","Piedmont-Triad",4,"High","White","Republican","Piedmont-Triad",0.689737677574158,1,0.917215983,0.661188049761238
"24","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Pat McCrory, the Republican","Favor","Approve","Support","Oppose","Real threat","Oppose","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","African American/Black","Landline and Cell Phone",29,"No","M","Democratic","Halifax","Black","Landline","East/ South Central",1,"Middle","Black","Democratic","East/ South Central",1.16301810741425,1,0.620036535,0.942065912438816
"25","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","[DO NOT READ] Don't know/No opinion","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",0,"No","M","Democratic","Orange","White","Landline","North Central",1,"Low","White","Democratic","North Central",1.0580450296402,1,0.468673959,0.776961591240971
"26","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Roy Cooper, the Democrat","Oppose","Approve","Support","Oppose","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",52,"No","F","Non-Partisan","Buncombe","White","Cell","Western",3,"High","White","Other","Western",0.699310898780823,1,0.922405111,0.672179422997129
"27","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Support","[DO NOT READ] Refused","Seven","Almost certain","Some college or trade school","Hispanic/Latino","Landline and Cell Phone",0,"Yes","F","Non-Partisan","Onslow","Hispanic","Cell","East/ South Central",2,"Low","Hispanic","Other","East/ South Central",0.475563198328018,0,0.203782022,0.0484556150720353
"28","Unfavorable","Favorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Richard Burr, the Republican","[DO NOT READ] Don't know/No opinion","Oppose","Disapprove","Support","Oppose","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",33,"No","M","Non-Partisan","Onslow","White","Cell","East/ South Central",2,"Low","White","Other","East/ South Central",0.494428873062134,1,0.181634824,0.292117187200646
"29","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Not","Oppose","Oppose","Democrat","Eight","Somewhat likely","High school","[DO NOT READ] Other/Something else (specify)","Landline Only",34,"No","F","Non-Partisan","Harnett","Other","Landline","North Central",2,"Middle","Other","Other","North Central",2.24704670906067,0,0.541087842,0.60792482733942
"30","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Favor","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Real threat","Oppose","Oppose","Independent (No party)","One (definitely will NOT vote)","Not at all likely","Graduate or Professional degree","Caucasian/White","Cell Phone Only",27,"No","M","Non-Partisan","Buncombe","White","Cell","Western",1,"Low","White","Other","Western",0.500331163406372,0,0.220942825,0.0552722903392702
"31","Favorable","Favorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Favor","Approve","Oppose","[DO NOT READ] Don't know/No opinion","Not","[DO NOT READ] Don't know/No opinion","Support","Democrat","Ten (definitely will vote)","Very likely","High school","[DO NOT READ] Other/Something else (specify)","Cell Phone Only",55,"No","M","Democratic","Mitchell","Hispanic","Cell","Western",3,"High","Hispanic","Democratic","Western",0.43325737118721,1,0.890608196,0.409559968471977
"32","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Landline and Cell Phone",66,"No","F","Democratic","Caldwell","White","Landline","Western",3,"High","White","Democratic","Western",0.784551024436951,1,0.930141956,0.75714742444427
"33","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Won't vote","[DO NOT READ] Won't vote","Oppose","Disapprove","Oppose","Oppose","Not","Oppose","Oppose","or as a member of another political party","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone Only",28,"No","M","Libertarian","Caldwell","White","Landline","Western",1,"High","White","Other","Western",0.736196577548981,1,0.97160274,0.725743594737096
"34","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Disapprove","Support","Oppose","Not","Oppose","Oppose","Democrat","Ten (definitely will vote)","Very likely","Some college or trade school","African American/Black","Cell Phone Only",25,"No","M","Democratic","Cabarrus","Black","Cell","Southwest",1,"Middle","Black","Democratic","Southwest",2.14415597915649,1,0.595935376,1.71096718939888
"35","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Approve","Oppose","Support","Real threat","Support","Support","Democrat","Ten (definitely will vote)","Not at all likely","Grade school","African American/Black","Cell Phone Only",65,"No","M","Democratic","Catawba","Black","Cell","Western",3,"Middle","Black","Democratic","Western",0.758642315864563,0,0.740158282,0.280757696581408
"36","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Oppose","Support","Not","Support","Support","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",62,"No","M","Republican","Pitt","White","Cell","East/ South Central",3,"Middle","White","Republican","East/ South Central",0.787653028964996,1,0.795672011,0.707183249245908
"37","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Oppose","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Cell Phone Only",34,"No","M","Democratic","Wayne","Black","Cell","East/ South Central",2,"Middle","Black","Democratic","East/ South Central",1.04159665107727,1,0.654989993,0.861916017137598
"38","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Oppose","Support","Real threat","Oppose","Support","Independent (No party)","Eight","Almost certain","Bachelors' degree","Hispanic/Latino","Cell Phone Only",29,"Yes","M","Democratic","Jackson","Other","Cell","Western",1,"Middle","Other","Democratic","Western",1.13152754306793,0,0.508471368,0.287674678876715
"39","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Approve","Support","Oppose","Real threat","Oppose","[DO NOT READ] Don't know/No opinion","or as a member of another political party","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",64,"No","M","Libertarian","Brunswick","White","Cell","East/ South Central",3,"High","White","Other","East/ South Central",0.584673047065735,1,0.983811937,0.579940685005584
"40","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Almost certain","Some college or trade school","Hispanic/Latino","Cell Phone Only",22,"Yes","F","Non-Partisan","Watauga","Hispanic","Cell","Western",1,"Middle","Hispanic","Other","Western",0.784156858921051,1,0.821546884,0.714189241467434
"41","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Favor","Disapprove","Support","Support","Real threat","Oppose","Support","or as a member of another political party","Ten (definitely will vote)","Not very likely","Some college or trade school","[DO NOT READ] Refused","Landline Only",55,"[DO NOT READ] Refused","F","Republican","Wake","Other","Landline","North Central",3,"High","Other","Republican","North Central",1.98380506038666,0,0.93077059,0.923233703250537
"42","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Oppose","Oppose","Real threat","Oppose","Oppose","Republican","Seven","Very likely","High school","[DO NOT READ] Refused","Cell Phone Only",23,"No","M","Republican","Surry","Hispanic","Cell","Piedmont-Triad",1,"Low","Hispanic","Republican","Piedmont-Triad",0.602305471897125,0,0.175061558,0.052720267151118
"43","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Oppose","Republican","Ten (definitely will vote)","Almost certain","Some college or trade school","Caucasian/White","Cell Phone Only",40,"No","M","Republican","Cumberland","White","Cell","East/ South Central",2,"High","White","Republican","East/ South Central",0.885028839111328,1,0.903570008,0.842357177173691
"44","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Support","Real threat","Support","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Some college or trade school","African American/Black","Landline and Cell Phone",61,"No","M","Democratic","Cumberland","Black","Landline","East/ South Central",3,"High","Black","Democratic","East/ South Central",0.755904197692871,1,0.948438302,0.736416345713685
"45","Unfavorable","Unfavorable","[DO NOT READ] Won't vote","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Oppose","Disapprove","Support","Support","Real threat","Support","Support","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","[DO NOT READ] Other/Something else (specify)","Cell Phone Only",0,"No","F","Non-Partisan","Cumberland","Other","Cell","East/ South Central",2,"High","Other","Other","East/ South Central",1.18781685829163,1,0.907287293,1.1327540001154
"46","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Oppose","Support","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",61,"No","F","Non-Partisan","Cumberland","Other","Landline","East/ South Central",3,"High","Other","Other","East/ South Central",0.954595625400543,1,0.911980839,0.91258427237953
"47","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Support","Support","[DO NOT READ] Refused","[DO NOT READ] Don't know/No opinion","Almost certain","[DO NOT READ] Refused","[DO NOT READ] Refused","[DO NOT READ] Refused",0,"[DO NOT READ] Refused","M","Democratic","Cumberland","Black","Cell","East/ South Central",1,"Middle","Black","Democratic","East/ South Central",1.16301810741425,0,0.576615431,0.335307093633735
"48","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Deborah Ross, the Democrat","[DO NOT READ] Don't know/No opinion","Favor","Approve","Support","Support","Real threat","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Don't know/No opinion","Independent (No party)","Six","Not very likely","Bachelors' degree","Hispanic/Latino","Cell Phone Only",24,"Yes","F","Democratic","Cumberland","Hispanic","Cell","East/ South Central",1,"Middle","Hispanic","Democratic","East/ South Central",0.970705449581146,0,0.847717826,0.411442156702641
"49","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","[DO NOT READ] Don't know/No opinion","Roy Cooper, the Democrat","Favor","Disapprove","Support","Support","Real threat","Support","Oppose","or as a member of another political party","Four","Not very likely","High school","Caucasian/White","Cell Phone Only",31,"No","M","Non-Partisan","Burke","White","Cell","Western",2,"Low","White","Other","Western",0.448095470666885,0,0.349428558,0.0782886770807305
"50","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Approve","Oppose","Support","Not","Support","Support","Independent (No party)","Seven","Very likely","Some college or trade school","Caucasian/White","Cell Phone Only",28,"No","F","Republican","Martin","White","Cell","East/ South Central",1,"Middle","White","Republican","East/ South Central",1.44423890113831,0,0.753305397,0.543976479392418
"51","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","[DO NOT READ] Don't know/No opinion","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Cell Phone Only",21,"No","M","Democratic","Brunswick","White","Cell","East/ South Central",1,"Low","White","Democratic","East/ South Central",0.619358479976654,1,0.331235322,0.412255942762576
"52","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Not","Support","Oppose","Democrat","Four","Somewhat likely","High school","African American/Black","Landline and Cell Phone",21,"No","M","Non-Partisan","Columbus","Black","Landline","East/ South Central",1,"Low","Black","Other","East/ South Central",0.63620126247406,0,0.423819416,0.134817223760109
"53","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Oppose","Disapprove","Support","Oppose","Not","Support","Support","Republican","Ten (definitely will vote)","Almost certain","High school","Caucasian/White","Landline and Cell Phone",54,"No","F","Republican","Alexander","White","Landline","Western",1,"Low","White","Republican","Western",0.803276300430298,1,0.432818063,0.575474396418173
"54","Unfavorable","Unfavorable","[DO NOT READ] Don't know/No opinion","[DO NOT READ] Someone else (specify)","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Very likely","Bachelors' degree","Asian","Cell Phone Only",30,"No","F","Non-Partisan","Buncombe","Other","Cell","Western",2,"Middle","Other","Other","Western",1.19211757183075,1,0.814776485,1.08171346835687
"55","Unfavorable","Unfavorable","[DO NOT READ] Someone else (specify)","Gary Johnson, the Libertarian","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Oppose","Approve","Oppose","Oppose","Real threat","Oppose","Oppose","Independent (No party)","Ten (definitely will vote)","Very likely","Some college or trade school","Caucasian/White","Cell Phone Only",33,"No","M","Non-Partisan","Harnett","White","Cell","North Central",2,"Middle","White","Other","North Central",1.37628102302551,1,0.797210866,1.23673360462552
"56","Favorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Oppose","Support","Real threat","Oppose","Oppose","Democrat","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Cell Phone Only",33,"No","F","Non-Partisan","Buncombe","White","Cell","Western",1,"High","White","Other","Western",0.971594214439392,1,0.952594573,0.948564795136278
"57","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","[DO NOT READ] Don't know/No opinion","Disapprove","[DO NOT READ] Don't know/No opinion","Oppose","Not","[DO NOT READ] Don't know/No opinion","Support","Republican","Eight","Somewhat likely","Grade school","[DO NOT READ] Other/Something else (specify)","Landline and Cell Phone",23,"No","F","Republican","Harnett","White","Landline","North Central",1,"Low","White","Republican","North Central",1.51411163806915,0,0.397896995,0.301230235441122
"58","Unfavorable","Favorable","Donald Trump, the Republican","Donald Trump, the Republican","Richard Burr, the Republican","Pat McCrory, the Republican","Favor","Disapprove","Support","Oppose","Not","Support","Oppose","Republican","Ten (definitely will vote)","Almost certain","Bachelors' degree","Caucasian/White","Landline and Cell Phone",69,"No","M","Republican","Harnett","White","Landline","North Central",4,"High","White","Republican","North Central",0.957523047924042,1,0.974279112,0.945208876387505
"59","Unfavorable","Unfavorable","Hillary Clinton, the Democrat","Hillary Clinton, the Democrat","Deborah Ross, the Democrat","Roy Cooper, the Democrat","Favor","Approve","Support","Support","Real threat","Oppose","Support","Democrat","Eight","Somewhat likely","Some college or trade school","Caucasian/White","Landline and Cell Phone",57,"No","M","Democratic","Buncombe","White","Cell","Western",3,"Low","White","Democratic","Western",0.404012233018875,0,0.45478383,0.0918691153495882
